time,lat,lon,rain
1951-01-01,18.5,73.75,0.0
1951-01-02,18.5,73.75,0.0
1951-01-03,18.5,73.75,0.0
1951-01-04,18.5,73.75,0.0
1951-01-05,18.5,73.75,0.0
1951-01-06,18.5,73.75,0.0
1951-01-07,18.5,73.75,0.0
1951-01-08,18.5,73.75,0.0
1951-01-09,18.5,73.75,0.0
1951-01-10,18.5,73.75,0.0
1951-01-11,18.5,73.75,0.0
1951-01-12,18.5,73.75,0.0
1951-01-13,18.5,73.75,0.0
1951-01-14,18.5,73.75,0.0
1951-01-15,18.5,73.75,0.0
1951-01-16,18.5,73.75,0.0
1951-01-17,18.5,73.75,0.0
1951-01-18,18.5,73.75,0.0
1951-01-19,18.5,73.75,0.47895917296409607
1951-01-20,18.5,73.75,0.0
1951-01-21,18.5,73.75,0.0
1951-01-22,18.5,73.75,0.0
1951-01-23,18.5,73.75,0.0
1951-01-24,18.5,73.75,0.0
1951-01-25,18.5,73.75,0.0
1951-01-26,18.5,73.75,0.0
1951-01-27,18.5,73.75,0.0
1951-01-28,18.5,73.75,0.0
1951-01-29,18.5,73.75,0.0
1951-01-30,18.5,73.75,0.0
1951-01-31,18.5,73.75,0.0
1951-02-01,18.5,73.75,0.0
1951-02-02,18.5,73.75,0.0
1951-02-03,18.5,73.75,0.0
1951-02-04,18.5,73.75,0.0
1951-02-05,18.5,73.75,0.0
1951-02-06,18.5,73.75,0.0
1951-02-07,18.5,73.75,0.0
1951-02-08,18.5,73.75,0.0
1951-02-09,18.5,73.75,0.0
1951-02-10,18.5,73.75,0.0
1951-02-11,18.5,73.75,0.0
1951-02-12,18.5,73.75,0.0
1951-02-13,18.5,73.75,0.0
1951-02-14,18.5,73.75,0.0
1951-02-15,18.5,73.75,0.0
1951-02-16,18.5,73.75,0.0
1951-02-17,18.5,73.75,0.0
1951-02-18,18.5,73.75,0.0
1951-02-19,18.5,73.75,0.0
1951-02-20,18.5,73.75,0.0
1951-02-21,18.5,73.75,0.0
1951-02-22,18.5,73.75,0.0
1951-02-23,18.5,73.75,0.0
1951-02-24,18.5,73.75,0.0
1951-02-25,18.5,73.75,0.0
1951-02-26,18.5,73.75,0.0
1951-02-27,18.5,73.75,0.0
1951-02-28,18.5,73.75,0.0
1951-03-01,18.5,73.75,0.0
1951-03-02,18.5,73.75,0.0
1951-03-03,18.5,73.75,0.0
1951-03-04,18.5,73.75,0.0
1951-03-05,18.5,73.75,0.0
1951-03-06,18.5,73.75,0.0
1951-03-07,18.5,73.75,0.0
1951-03-08,18.5,73.75,0.0
1951-03-09,18.5,73.75,0.0
1951-03-10,18.5,73.75,0.0
1951-03-11,18.5,73.75,0.0
1951-03-12,18.5,73.75,0.0
1951-03-13,18.5,73.75,0.0
1951-03-14,18.5,73.75,0.0
1951-03-15,18.5,73.75,0.0
1951-03-16,18.5,73.75,0.0
1951-03-17,18.5,73.75,0.0
1951-03-18,18.5,73.75,0.0
1951-03-19,18.5,73.75,0.0
1951-03-20,18.5,73.75,0.0
1951-03-21,18.5,73.75,0.0
1951-03-22,18.5,73.75,0.0
1951-03-23,18.5,73.75,0.0
1951-03-24,18.5,73.75,0.0
1951-03-25,18.5,73.75,0.0
1951-03-26,18.5,73.75,0.0
1951-03-27,18.5,73.75,0.0
1951-03-28,18.5,73.75,0.0
1951-03-29,18.5,73.75,0.0
1951-03-30,18.5,73.75,0.0
1951-03-31,18.5,73.75,0.0
1951-04-01,18.5,73.75,0.0
1951-04-02,18.5,73.75,0.0
1951-04-03,18.5,73.75,0.0
1951-04-04,18.5,73.75,0.0
1951-04-05,18.5,73.75,0.0
1951-04-06,18.5,73.75,0.0
1951-04-07,18.5,73.75,0.0
1951-04-08,18.5,73.75,0.0
1951-04-09,18.5,73.75,0.0
1951-04-10,18.5,73.75,0.0
1951-04-11,18.5,73.75,0.0
1951-04-12,18.5,73.75,0.0
1951-04-13,18.5,73.75,0.0
1951-04-14,18.5,73.75,0.0
1951-04-15,18.5,73.75,0.36864158511161804
1951-04-16,18.5,73.75,0.0
1951-04-17,18.5,73.75,0.23816080391407013
1951-04-18,18.5,73.75,1.1158771514892578
1951-04-19,18.5,73.75,0.0
1951-04-20,18.5,73.75,0.0
1951-04-21,18.5,73.75,0.0
1951-04-22,18.5,73.75,0.0
1951-04-23,18.5,73.75,0.0
1951-04-24,18.5,73.75,0.0
1951-04-25,18.5,73.75,0.1846415400505066
1951-04-26,18.5,73.75,0.0
1951-04-27,18.5,73.75,0.0
1951-04-28,18.5,73.75,0.0
1951-04-29,18.5,73.75,0.0
1951-04-30,18.5,73.75,0.0
1951-05-01,18.5,73.75,0.0
1951-05-02,18.5,73.75,0.0
1951-05-03,18.5,73.75,0.0
1951-05-04,18.5,73.75,0.0
1951-05-05,18.5,73.75,0.0
1951-05-06,18.5,73.75,0.0
1951-05-07,18.5,73.75,3.3015949726104736
1951-05-08,18.5,73.75,0.32368576526641846
1951-05-09,18.5,73.75,0.0
1951-05-10,18.5,73.75,0.0
1951-05-11,18.5,73.75,0.0
1951-05-12,18.5,73.75,0.0
1951-05-13,18.5,73.75,0.0
1951-05-14,18.5,73.75,0.0
1951-05-15,18.5,73.75,0.0
1951-05-16,18.5,73.75,0.0
1951-05-17,18.5,73.75,0.0
1951-05-18,18.5,73.75,0.0
1951-05-19,18.5,73.75,0.0
1951-05-20,18.5,73.75,0.0
1951-05-21,18.5,73.75,0.0
1951-05-22,18.5,73.75,0.0
1951-05-23,18.5,73.75,0.0
1951-05-24,18.5,73.75,11.31929874420166
1951-05-25,18.5,73.75,9.331034660339355
1951-05-26,18.5,73.75,17.734485626220703
1951-05-27,18.5,73.75,4.206563472747803
1951-05-28,18.5,73.75,0.0
1951-05-29,18.5,73.75,0.0
1951-05-30,18.5,73.75,0.0
1951-05-31,18.5,73.75,0.0
1951-06-01,18.5,73.75,0.0
1951-06-02,18.5,73.75,0.0
1951-06-03,18.5,73.75,0.0
1951-06-04,18.5,73.75,4.2726521492004395
1951-06-05,18.5,73.75,0.0
1951-06-06,18.5,73.75,0.0
1951-06-07,18.5,73.75,0.5325610041618347
1951-06-08,18.5,73.75,0.19421148300170898
1951-06-09,18.5,73.75,0.4325484037399292
1951-06-10,18.5,73.75,24.61052131652832
1951-06-11,18.5,73.75,0.0
1951-06-12,18.5,73.75,1.0095674991607666
1951-06-13,18.5,73.75,0.0
1951-06-14,18.5,73.75,1.432491660118103
1951-06-15,18.5,73.75,0.6074148416519165
1951-06-16,18.5,73.75,0.0
1951-06-17,18.5,73.75,0.0
1951-06-18,18.5,73.75,0.0
1951-06-19,18.5,73.75,0.32368576526641846
1951-06-20,18.5,73.75,0.5099309086799622
1951-06-21,18.5,73.75,88.94503021240234
1951-06-22,18.5,73.75,1.1464658975601196
1951-06-23,18.5,73.75,1.220924735069275
1951-06-24,18.5,73.75,12.027249336242676
1951-06-25,18.5,73.75,0.0
1951-06-26,18.5,73.75,0.0
1951-06-27,18.5,73.75,0.0
1951-06-28,18.5,73.75,0.3323476314544678
1951-06-29,18.5,73.75,0.0
1951-06-30,18.5,73.75,0.3323476314544678
1951-07-01,18.5,73.75,0.13215181231498718
1951-07-02,18.5,73.75,0.0
1951-07-03,18.5,73.75,0.0
1951-07-04,18.5,73.75,0.7951488494873047
1951-07-05,18.5,73.75,0.0
1951-07-06,18.5,73.75,0.0
1951-07-07,18.5,73.75,0.0
1951-07-08,18.5,73.75,0.0
1951-07-09,18.5,73.75,4.6820478439331055
1951-07-10,18.5,73.75,0.18405790627002716
1951-07-11,18.5,73.75,21.807039260864258
1951-07-12,18.5,73.75,0.19421148300170898
1951-07-13,18.5,73.75,0.6591006517410278
1951-07-14,18.5,73.75,0.20768548548221588
1951-07-15,18.5,73.75,0.0
1951-07-16,18.5,73.75,2.8818864822387695
1951-07-17,18.5,73.75,3.0585358142852783
1951-07-18,18.5,73.75,3.8787803649902344
1951-07-19,18.5,73.75,14.136528968811035
1951-07-20,18.5,73.75,19.028919219970703
1951-07-21,18.5,73.75,0.3410095274448395
1951-07-22,18.5,73.75,0.0
1951-07-23,18.5,73.75,2.521867513656616
1951-07-24,18.5,73.75,0.21555398404598236
1951-07-25,18.5,73.75,0.5610669255256653
1951-07-26,18.5,73.75,7.248753547668457
1951-07-27,18.5,73.75,9.687979698181152
1951-07-28,18.5,73.75,5.272970676422119
1951-07-29,18.5,73.75,1.507587194442749
1951-07-30,18.5,73.75,2.0076746940612793
1951-07-31,18.5,73.75,4.457412242889404
1951-08-01,18.5,73.75,2.972151279449463
1951-08-02,18.5,73.75,1.4162280559539795
1951-08-03,18.5,73.75,0.632697582244873
1951-08-04,18.5,73.75,1.714115023612976
1951-08-05,18.5,73.75,1.7055951356887817
1951-08-06,18.5,73.75,1.0373895168304443
1951-08-07,18.5,73.75,7.697189807891846
1951-08-08,18.5,73.75,41.37689208984375
1951-08-09,18.5,73.75,1.5804976224899292
1951-08-10,18.5,73.75,0.7919629812240601
1951-08-11,18.5,73.75,2.126528024673462
1951-08-12,18.5,73.75,0.0
1951-08-13,18.5,73.75,0.0
1951-08-14,18.5,73.75,1.1786080598831177
1951-08-15,18.5,73.75,0.24185176193714142
1951-08-16,18.5,73.75,0.5463526844978333
1951-08-17,18.5,73.75,0.18224488198757172
1951-08-18,18.5,73.75,0.9739151000976562
1951-08-19,18.5,73.75,3.2731449604034424
1951-08-20,18.5,73.75,0.8589067459106445
1951-08-21,18.5,73.75,0.5241530537605286
1951-08-22,18.5,73.75,0.10944317281246185
1951-08-23,18.5,73.75,0.0
1951-08-24,18.5,73.75,0.30756816267967224
1951-08-25,18.5,73.75,0.19956861436367035
1951-08-26,18.5,73.75,0.0
1951-08-27,18.5,73.75,0.0
1951-08-28,18.5,73.75,1.453970193862915
1951-08-29,18.5,73.75,0.0
1951-08-30,18.5,73.75,0.0
1951-08-31,18.5,73.75,0.0
1951-09-01,18.5,73.75,0.0
1951-09-02,18.5,73.75,0.0
1951-09-03,18.5,73.75,0.0
1951-09-04,18.5,73.75,0.0
1951-09-05,18.5,73.75,0.0
1951-09-06,18.5,73.75,0.0
1951-09-07,18.5,73.75,0.0
1951-09-08,18.5,73.75,0.0
1951-09-09,18.5,73.75,0.0
1951-09-10,18.5,73.75,0.0
1951-09-11,18.5,73.75,0.0
1951-09-12,18.5,73.75,5.009537220001221
1951-09-13,18.5,73.75,0.0
1951-09-14,18.5,73.75,0.0
1951-09-15,18.5,73.75,0.0
1951-09-16,18.5,73.75,0.0
1951-09-17,18.5,73.75,0.0
1951-09-18,18.5,73.75,0.0
1951-09-19,18.5,73.75,0.17953187227249146
1951-09-20,18.5,73.75,1.079673409461975
1951-09-21,18.5,73.75,0.0
1951-09-22,18.5,73.75,75.99886322021484
1951-09-23,18.5,73.75,0.9710572957992554
1951-09-24,18.5,73.75,0.0
1951-09-25,18.5,73.75,0.0
1951-09-26,18.5,73.75,0.0
1951-09-27,18.5,73.75,0.0
1951-09-28,18.5,73.75,0.0
1951-09-29,18.5,73.75,0.0
1951-09-30,18.5,73.75,0.0
1951-10-01,18.5,73.75,42.05790710449219
1951-10-02,18.5,73.75,15.535157203674316
1951-10-03,18.5,73.75,26.049190521240234
1951-10-04,18.5,73.75,0.0
1951-10-05,18.5,73.75,3.793116807937622
1951-10-06,18.5,73.75,0.0
1951-10-07,18.5,73.75,0.0
1951-10-08,18.5,73.75,0.0
1951-10-09,18.5,73.75,1.6969207525253296
1951-10-10,18.5,73.75,3.1073837280273438
1951-10-11,18.5,73.75,0.0
1951-10-12,18.5,73.75,0.0
1951-10-13,18.5,73.75,0.0
1951-10-14,18.5,73.75,1.9421145915985107
1951-10-15,18.5,73.75,5.357811450958252
1951-10-16,18.5,73.75,34.551021575927734
1951-10-17,18.5,73.75,0.9345473051071167
1951-10-18,18.5,73.75,0.0
1951-10-19,18.5,73.75,0.0
1951-10-20,18.5,73.75,63.83056640625
1951-10-21,18.5,73.75,0.3549630343914032
1951-10-22,18.5,73.75,11.203351974487305
1951-10-23,18.5,73.75,24.786617279052734
1951-10-24,18.5,73.75,4.869740009307861
1951-10-25,18.5,73.75,0.4925590455532074
1951-10-26,18.5,73.75,0.0
1951-10-27,18.5,73.75,0.0
1951-10-28,18.5,73.75,0.0
1951-10-29,18.5,73.75,0.0
1951-10-30,18.5,73.75,0.0
1951-10-31,18.5,73.75,0.0
1951-11-01,18.5,73.75,0.0
1951-11-02,18.5,73.75,0.0
1951-11-03,18.5,73.75,0.0
1951-11-04,18.5,73.75,0.0
1951-11-05,18.5,73.75,0.0
1951-11-06,18.5,73.75,0.0
1951-11-07,18.5,73.75,0.0
1951-11-08,18.5,73.75,0.0
1951-11-09,18.5,73.75,0.0
1951-11-10,18.5,73.75,0.0
1951-11-11,18.5,73.75,0.0
1951-11-12,18.5,73.75,0.0
1951-11-13,18.5,73.75,0.0
1951-11-14,18.5,73.75,0.0
1951-11-15,18.5,73.75,0.0
1951-11-16,18.5,73.75,0.0
1951-11-17,18.5,73.75,0.0
1951-11-18,18.5,73.75,0.0
1951-11-19,18.5,73.75,0.0
1951-11-20,18.5,73.75,0.0
1951-11-21,18.5,73.75,26.39919090270996
1951-11-22,18.5,73.75,0.6473440527915955
1951-11-23,18.5,73.75,19.970949172973633
1951-11-24,18.5,73.75,23.17098045349121
1951-11-25,18.5,73.75,0.17227499186992645
1951-11-26,18.5,73.75,0.0
1951-11-27,18.5,73.75,0.0
1951-11-28,18.5,73.75,0.0
1951-11-29,18.5,73.75,0.0
1951-11-30,18.5,73.75,0.0
1951-12-01,18.5,73.75,0.0
1951-12-02,18.5,73.75,0.0
1951-12-03,18.5,73.75,0.0
1951-12-04,18.5,73.75,0.0
1951-12-05,18.5,73.75,0.0
1951-12-06,18.5,73.75,0.0
1951-12-07,18.5,73.75,0.0
1951-12-08,18.5,73.75,0.0
1951-12-09,18.5,73.75,0.0
1951-12-10,18.5,73.75,0.0
1951-12-11,18.5,73.75,0.0
1951-12-12,18.5,73.75,0.0
1951-12-13,18.5,73.75,0.0
1951-12-14,18.5,73.75,0.0
1951-12-15,18.5,73.75,0.0
1951-12-16,18.5,73.75,0.0
1951-12-17,18.5,73.75,0.0
1951-12-18,18.5,73.75,0.0
1951-12-19,18.5,73.75,0.0
1951-12-20,18.5,73.75,0.0
1951-12-21,18.5,73.75,0.0
1951-12-22,18.5,73.75,0.0
1951-12-23,18.5,73.75,0.0
1951-12-24,18.5,73.75,0.0
1951-12-25,18.5,73.75,0.0
1951-12-26,18.5,73.75,0.0
1951-12-27,18.5,73.75,0.0
1951-12-28,18.5,73.75,0.0
1951-12-29,18.5,73.75,0.0
1951-12-30,18.5,73.75,0.0
1951-12-31,18.5,73.75,0.0
1952-01-01,18.5,73.75,0.0
1952-01-02,18.5,73.75,0.0
1952-01-03,18.5,73.75,0.0
1952-01-04,18.5,73.75,0.0
1952-01-05,18.5,73.75,0.0
1952-01-06,18.5,73.75,0.0
1952-01-07,18.5,73.75,0.0
1952-01-08,18.5,73.75,0.0
1952-01-09,18.5,73.75,0.0
1952-01-10,18.5,73.75,0.0
1952-01-11,18.5,73.75,0.0
1952-01-12,18.5,73.75,0.0
1952-01-13,18.5,73.75,0.0
1952-01-14,18.5,73.75,0.0
1952-01-15,18.5,73.75,0.0
1952-01-16,18.5,73.75,0.0
1952-01-17,18.5,73.75,0.0
1952-01-18,18.5,73.75,0.0
1952-01-19,18.5,73.75,0.0
1952-01-20,18.5,73.75,0.0
1952-01-21,18.5,73.75,0.0
1952-01-22,18.5,73.75,0.0
1952-01-23,18.5,73.75,0.0
1952-01-24,18.5,73.75,0.0
1952-01-25,18.5,73.75,0.0
1952-01-26,18.5,73.75,0.0
1952-01-27,18.5,73.75,0.0
1952-01-28,18.5,73.75,0.0
1952-01-29,18.5,73.75,0.0
1952-01-30,18.5,73.75,0.0
1952-01-31,18.5,73.75,0.0
1952-02-01,18.5,73.75,0.0
1952-02-02,18.5,73.75,0.0
1952-02-03,18.5,73.75,0.0
1952-02-04,18.5,73.75,0.0
1952-02-05,18.5,73.75,0.0
1952-02-06,18.5,73.75,0.0
1952-02-07,18.5,73.75,0.0
1952-02-08,18.5,73.75,0.0
1952-02-09,18.5,73.75,0.0
1952-02-10,18.5,73.75,0.0
1952-02-11,18.5,73.75,0.0
1952-02-12,18.5,73.75,0.0
1952-02-13,18.5,73.75,0.0
1952-02-14,18.5,73.75,0.0
1952-02-15,18.5,73.75,0.0
1952-02-16,18.5,73.75,0.0
1952-02-17,18.5,73.75,0.0
1952-02-18,18.5,73.75,0.0
1952-02-19,18.5,73.75,0.0
1952-02-20,18.5,73.75,0.0
1952-02-21,18.5,73.75,0.0
1952-02-22,18.5,73.75,0.0
1952-02-23,18.5,73.75,0.0
1952-02-24,18.5,73.75,0.0
1952-02-25,18.5,73.75,0.0
1952-02-26,18.5,73.75,0.0
1952-02-27,18.5,73.75,0.0
1952-02-28,18.5,73.75,0.0
1952-02-29,18.5,73.75,0.0
1952-03-01,18.5,73.75,0.0
1952-03-02,18.5,73.75,0.0
1952-03-03,18.5,73.75,0.0
1952-03-04,18.5,73.75,0.0
1952-03-05,18.5,73.75,0.0
1952-03-06,18.5,73.75,0.0
1952-03-07,18.5,73.75,0.0
1952-03-08,18.5,73.75,0.0
1952-03-09,18.5,73.75,0.0
1952-03-10,18.5,73.75,0.0
1952-03-11,18.5,73.75,0.0
1952-03-12,18.5,73.75,0.0
1952-03-13,18.5,73.75,0.0
1952-03-14,18.5,73.75,0.0
1952-03-15,18.5,73.75,0.0
1952-03-16,18.5,73.75,0.0
1952-03-17,18.5,73.75,0.0
1952-03-18,18.5,73.75,0.0
1952-03-19,18.5,73.75,0.0
1952-03-20,18.5,73.75,0.0
1952-03-21,18.5,73.75,0.0
1952-03-22,18.5,73.75,0.0
1952-03-23,18.5,73.75,0.0
1952-03-24,18.5,73.75,0.0
1952-03-25,18.5,73.75,0.0
1952-03-26,18.5,73.75,0.0
1952-03-27,18.5,73.75,0.0
1952-03-28,18.5,73.75,0.0
1952-03-29,18.5,73.75,0.0
1952-03-30,18.5,73.75,0.0
1952-03-31,18.5,73.75,0.0
1952-04-01,18.5,73.75,0.0
1952-04-02,18.5,73.75,0.0
1952-04-03,18.5,73.75,0.0
1952-04-04,18.5,73.75,0.0
1952-04-05,18.5,73.75,0.0
1952-04-06,18.5,73.75,0.0
1952-04-07,18.5,73.75,0.0
1952-04-08,18.5,73.75,0.0
1952-04-09,18.5,73.75,0.0
1952-04-10,18.5,73.75,0.0
1952-04-11,18.5,73.75,0.0
1952-04-12,18.5,73.75,0.0
1952-04-13,18.5,73.75,0.0
1952-04-14,18.5,73.75,0.0
1952-04-15,18.5,73.75,0.8415830135345459
1952-04-16,18.5,73.75,0.0
1952-04-17,18.5,73.75,0.0
1952-04-18,18.5,73.75,0.21423132717609406
1952-04-19,18.5,73.75,0.0
1952-04-20,18.5,73.75,0.0
1952-04-21,18.5,73.75,0.0
1952-04-22,18.5,73.75,0.0
1952-04-23,18.5,73.75,0.0
1952-04-24,18.5,73.75,0.0
1952-04-25,18.5,73.75,0.0
1952-04-26,18.5,73.75,0.0
1952-04-27,18.5,73.75,0.0
1952-04-28,18.5,73.75,0.0
1952-04-29,18.5,73.75,0.0
1952-04-30,18.5,73.75,0.0
1952-05-01,18.5,73.75,0.0
1952-05-02,18.5,73.75,0.0
1952-05-03,18.5,73.75,0.0
1952-05-04,18.5,73.75,0.0
1952-05-05,18.5,73.75,0.0
1952-05-06,18.5,73.75,0.0
1952-05-07,18.5,73.75,0.0
1952-05-08,18.5,73.75,0.0
1952-05-09,18.5,73.75,0.0
1952-05-10,18.5,73.75,0.0
1952-05-11,18.5,73.75,0.0
1952-05-12,18.5,73.75,0.0
1952-05-13,18.5,73.75,0.0
1952-05-14,18.5,73.75,0.0
1952-05-15,18.5,73.75,0.0
1952-05-16,18.5,73.75,0.0
1952-05-17,18.5,73.75,0.0
1952-05-18,18.5,73.75,0.0
1952-05-19,18.5,73.75,0.0
1952-05-20,18.5,73.75,0.0
1952-05-21,18.5,73.75,0.0
1952-05-22,18.5,73.75,0.8318239450454712
1952-05-23,18.5,73.75,0.0
1952-05-24,18.5,73.75,1.8632855415344238
1952-05-25,18.5,73.75,21.233787536621094
1952-05-26,18.5,73.75,0.0
1952-05-27,18.5,73.75,0.0
1952-05-28,18.5,73.75,0.0
1952-05-29,18.5,73.75,0.0
1952-05-30,18.5,73.75,0.0
1952-05-31,18.5,73.75,0.0
1952-06-01,18.5,73.75,0.0
1952-06-02,18.5,73.75,0.0
1952-06-03,18.5,73.75,0.0
1952-06-04,18.5,73.75,0.11465901881456375
1952-06-05,18.5,73.75,24.83782196044922
1952-06-06,18.5,73.75,0.30324292182922363
1952-06-07,18.5,73.75,0.0
1952-06-08,18.5,73.75,22.904525756835938
1952-06-09,18.5,73.75,55.583946228027344
1952-06-10,18.5,73.75,7.224598407745361
1952-06-11,18.5,73.75,21.480144500732422
1952-06-12,18.5,73.75,0.0
1952-06-13,18.5,73.75,4.354391574859619
1952-06-14,18.5,73.75,9.549339294433594
1952-06-15,18.5,73.75,0.0
1952-06-16,18.5,73.75,0.0
1952-06-17,18.5,73.75,0.0
1952-06-18,18.5,73.75,0.0
1952-06-19,18.5,73.75,0.0
1952-06-20,18.5,73.75,0.0
1952-06-21,18.5,73.75,1.2961866855621338
1952-06-22,18.5,73.75,0.2221219539642334
1952-06-23,18.5,73.75,6.137219429016113
1952-06-24,18.5,73.75,6.965309143066406
1952-06-25,18.5,73.75,8.4713134765625
1952-06-26,18.5,73.75,0.5322981476783752
1952-06-27,18.5,73.75,1.0878424644470215
1952-06-28,18.5,73.75,0.0
1952-06-29,18.5,73.75,0.35448354482650757
1952-06-30,18.5,73.75,0.6743196249008179
1952-07-01,18.5,73.75,0.0
1952-07-02,18.5,73.75,0.3275355100631714
1952-07-03,18.5,73.75,0.3467841148376465
1952-07-04,18.5,73.75,0.0
1952-07-05,18.5,73.75,0.0
1952-07-06,18.5,73.75,0.0
1952-07-07,18.5,73.75,0.0
1952-07-08,18.5,73.75,1.1150602102279663
1952-07-09,18.5,73.75,0.6829814314842224
1952-07-10,18.5,73.75,0.0
1952-07-11,18.5,73.75,0.0
1952-07-12,18.5,73.75,0.0
1952-07-13,18.5,73.75,0.0
